"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)""",,,,
2.977195833E-2,5.166838025E-1,1.069280326E0,2.835373342E-1,1.220948806E0
3.971895833E-2,3.045551509E-1,1.385060377E0,2.563208842E-1,1.441126810E0
4.966495832E-2,5.552936983E-1,1.428981153E0,-4.797312999E-1,1.606387359E0
5.961195834E-2,9.820512709E-1,1.619278786E0,-1.456069549E0,2.388854750E0
6.955895833E-2,1.126498255E0,1.999762956E0,-2.263451332E0,3.223548065E0
7.950595833E-2,1.145051178E0,2.110620317E0,-2.668162855E0,3.589561720E0
8.945295833E-2,1.186957734E0,1.925796847E0,-2.739880709E0,3.553098431E0
9.939995833E-2,1.030049164E0,1.546218411E0,-2.514669351E0,3.126556348E0
1.093469583E-1,9.594219616E-1,1.302144520E0,-2.278489201E0,2.794205413E0
1.192939583E-1,1.239358727E0,1.236783759E0,-2.120078773E0,2.749614178E0
1.292409583E-1,1.646493190E0,1.243633772E0,-1.957153711E0,2.843943640E0
1.391879583E-1,1.923477403E0,1.265443302E0,-1.771094724E0,2.904804398E0
1.491349583E-1,1.976350704E0,1.281203887E0,-1.420360603E0,2.750430830E0
1.590809583E-1,1.101610751E0,7.543826205E-1,-1.699695543E0,2.161389443E0
1.690279583E-1,1.100189732E0,7.471414286E-1,-2.715844560E0,3.023979073E0
1.789749583E-1,1.456705433E0,1.514887860E0,-3.016123642E0,3.676122655E0
1.889219583E-1,1.923727664E0,2.011738054E0,-2.915315305E0,4.030742047E0
1.988689583E-1,2.316286919E0,2.189113925E0,-2.488536975E0,4.043540669E0
2.088159583E-1,2.669093732E0,2.172607235E0,-1.698043705E0,3.837660221E0
2.187629583E-1,3.009770057E0,2.252371443E0,-1.728963196E-1,3.763214856E0
2.287099583E-1,3.424517741E0,2.809542097E0,7.545966285E-1,4.493357835E0
2.386569583E-1,3.634231639E0,2.994566712E0,3.626045537E-1,4.722981205E0
2.486039583E-1,2.868033842E0,1.890762670E0,-5.179621500E-1,3.474030280E0
2.585499583E-1,2.523664708E0,2.372835195E-1,-2.793944650E0,3.772441349E0
2.684969583E-1,3.096091625E0,-9.565992182E-1,-4.707757044E0,5.715228937E0
2.784439583E-1,3.023298175E0,-1.643902581E0,-5.442019980E0,6.438814255E0
2.883909583E-1,1.384469077E0,-5.518356550E-1,-4.291904236E0,4.543315880E0
2.983379583E-1,-1.636173731E-1,2.054910386E-1,-2.190943519E0,2.206633344E0
3.082849583E-1,-2.568340359E0,6.746929649E-1,-1.368172449E-1,2.659003903E0
3.182319583E-1,-3.239603055E0,1.015358765E0,8.823541975E-1,3.507781393E0
3.281789583E-1,-7.894147512E-1,1.148080328E0,7.442792165E-1,1.579625159E0
3.381259583E-1,1.225765997E0,1.412199059E0,1.095867616E0,2.167425730E0
3.480729583E-1,1.798690951E0,1.798727496E0,2.006632850E0,3.239951409E0
3.580189583E-1,1.858585296E0,1.537321580E0,1.050113153E0,2.630671887E0
3.679659583E-1,1.235402354E0,1.246645381E0,-8.878090650E-1,1.966862633E0
3.779129583E-1,-2.648098719E-1,8.426133040E-1,-3.347162586E0,3.461736389E0
3.878599583E-1,-1.694909158E0,3.688064030E-1,-4.629344712E0,4.943639114E0
3.978069583E-1,-2.283290350E0,1.326114888E-1,-1.375480299E0,2.668884914E0
4.077539583E-1,-1.247267086E0,-7.829614717E-1,4.502532638E0,4.737246458E0
4.177009583E-1,1.017618495E0,-8.474267319E-1,4.157855648E0,4.363650199E0
4.276479583E-1,1.127069820E0,2.968659161E-1,3.207467342E0,3.412662084E0
4.375949583E-1,-2.983446477E0,1.919867624E0,4.412717067E0,5.662059386E0
4.475419583E-1,-4.847823002E0,2.924801535E0,3.567920120E0,6.692227272E0
4.574879583E-1,-1.341327882E0,2.116777582E0,3.698919386E-1,2.533126105E0
4.674349583E-1,7.836374098E-1,2.106011542E0,-2.470523458E0,3.339589550E0
4.773819583E-1,-1.072173236E-1,2.448274217E0,-4.339749663E0,4.983870919E0
4.873289583E-1,-1.202720804E0,1.997845069E0,-5.251367421E0,5.745849114E0
4.972759583E-1,-1.619767613E0,9.610717535E-1,-4.852650463E0,5.205335969E0
5.072229583E-1,-1.894601221E0,-5.099921027E-1,-2.727336677E0,3.359757593E0
5.171699583E-1,-3.331133907E0,-2.197068770E0,3.039938182E-1,4.001996567E0
5.271169583E-1,-4.867333406E0,-2.478950465E0,6.975085080E-1,5.506600404E0
5.370639583E-1,-3.237706802E0,-2.413346459E0,-5.038439893E0,6.457001086E0
5.470109583E-1,-1.742472311E0,-3.183802491E0,6.216718166E0,7.198638261E0
5.569579583E-1,-3.524631429E0,-7.082206070E-1,7.037454405E0,7.902554501E0
5.669039583E-1,-3.302815549E0,-1.363882493E0,4.248770496E0,5.551649910E0
5.768509583E-1,-4.729902642E-1,-1.552045016E0,2.664417713E0,3.119564917E0
5.867979583E-1,-1.882318706E0,5.991065928E-1,1.438968197E0,2.443907096E0
5.967449583E-1,-1.437098258E0,-3.366315141E-2,2.584581000E0,2.957438682E0
6.066919583E-1,6.776120411E-1,-4.357652083E-2,1.836204640E0,1.957729417E0
6.166389583E-1,4.448473960E0,3.647873193E-1,-2.166775807E0,4.961542881E0
6.265859583E-1,5.506344030E0,2.217141384E-1,2.959403311E0,6.255161844E0
6.365329583E-1,2.120037843E0,4.036957448E0,2.385871562E0,5.146257767E0
6.464799583E-1,4.032069760E0,9.208911493E-1,2.009211472E0,4.598103717E0
